,Values,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Average of Total Flights,Average of 0:00,Average of 1:00,Average of 2:00,Average of 3:00,Average of 4:00,Average of 5:00,Average of 6:00,Average of 7:00,Average of 8:00,Average of 9:00,Average of 10:00,Average of 11:00,Average of 12:00,Average of 13:00,Average of 14:00,Average of 15:00,Average of 16:00,Average of 17:00,Average of 18:00,Average of 19:00,Average of 20:00,Average of 21:00,Average of 22:00,Average of 23:00,
Africa,20115,0.13,0.02,0,0,0.01,0.01,0.75,0.54,0.51,0.58,0.47,0.47,0.59,0.54,0.45,0.49,0.53,0.56,0.46,0.49,0.45,0.14,0.19,0.23,0.148083067
Central and South America,22010.29032,0.04,0.09,0.1,0.09,0.09,0.3,0.57,0.5,0.56,0.47,0.48,0.49,0.41,0.46,0.37,0.53,0.48,0.52,0.51,0.45,0.49,0.41,0.31,0.23,0.085095372
Europe,14970.69444,0.05,0.01,0,0,0,0.03,0.41,0.59,0.48,0.5,0.61,0.47,0.51,0.52,0.53,0.45,0.47,0.5,0.52,0.49,0.54,0.43,0.16,0.09,0.130892122
Middle East,15549.875,0.3,0.38,0.33,0.22,0.23,0.22,0.23,0.45,0.47,0.48,0.45,0.3,0.26,0.29,0.3,0.32,0.28,0.31,0.37,0.37,0.35,0.32,0.29,0.35,0.074353285
North America,15904.53571,0.1,0.03,0,0,0,0.08,0.4,0.52,0.63,0.63,0.55,0.63,0.52,0.52,0.44,0.49,0.44,0.6,0.58,0.45,0.47,0.33,0.24,0.15,0.133561362
Northeast Asia,20626.34483,0.06,0.01,0,0,0,0,0.07,0.55,0.7,0.58,0.57,0.57,0.58,0.5,0.57,0.55,0.55,0.53,0.52,0.53,0.47,0.33,0.18,0.08,0.180457652
Oceania,17487,0.04,0.03,0.03,0.01,0,0.14,0.67,0.59,0.71,0.58,0.5,0.57,0.5,0.4,0.52,0.57,0.58,0.48,0.51,0.42,0.26,0.11,0.15,0.11,0.183031364
South Asia,17661.875,0.14,0.25,0.16,0.16,0.3,0.28,0.61,0.51,0.32,0.49,0.63,0.32,0.32,0.41,0.2,0.17,0.45,0.51,0.65,0.44,0.72,0.41,0.15,0.19,0.172358344
Southeast Asia,21019.46667,0.26,0.22,0.1,0.03,0.04,0.15,0.48,0.41,0.51,0.55,0.59,0.49,0.33,0.41,0.47,0.45,0.52,0.39,0.48,0.46,0.39,0.22,0.14,0.25,0.116642083
(blank),929.1241523,0.01,0.01,0.01,0.01,0.02,0.07,0.22,0.19,0.17,0.18,0.19,0.19,0.2,0.22,0.21,0.21,0.21,0.21,0.17,0.13,0.11,0.07,0.04,0.03,0.062489532
Grand Total,2633.024505,0.02,0.01,0.02,0.02,0.02,0.07,0.23,0.22,0.21,0.22,0.23,0.22,0.23,0.25,0.24,0.23,0.24,0.24,0.2,0.16,0.14,0.1,0.05,0.04,0.065153178
