Name,Total Flights,Number of Seats,Seats per Departures,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
YUY,421,15577,37,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.00,0.00,0.00,0.85,0.00,0.00,0.83,0.00,0.00,0.00
AGH,15,1665,111,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.68,0.00,0.00,0.00,0.00
AGA,705,104413,148,0.40,0.00,0.00,0.00,0.00,0.02,0.27,0.03,0.00,0.60,0.00,0.24,0.85,0.10,0.09,1.00,0.56,0.41,0.05,0.31,0.44,0.30,0.00,0.00
AGU,539,30114,55,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.66,0.00,0.00,0.00,0.04,0.27,0.21,0.00,0.00,0.10,0.00,1.00,0.00,0.00
AGT,2,312,156,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
AGS,190,10646,56,0.00,0.00,0.00,0.00,0.00,0.36,0.00,1.00,0.00,0.33,0.00,0.36,0.36,0.05,0.31,0.27,0.00,0.47,0.04,0.31,0.00,0.00,0.00,0.00
AGR,157,26376,168,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AGP,4307,563940,130,0.00,0.04,0.00,0.00,0.00,0.00,0.28,0.30,0.07,0.79,0.52,0.63,0.59,0.87,0.49,0.31,0.26,1.00,0.09,0.70,0.25,0.20,0.02,0.06
KYA,205,26525,129,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.35,0.00,1.00,0.00,0.00,0.00,0.00,0.73,0.00,0.00,0.00,0.33,0.44,0.00,0.00,0.00
SPS,218,10900,50,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
SPU,505,54264,107,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.28,0.00,0.00,0.18,0.00,0.47,0.21,0.92,0.19,0.88,0.00,0.00,0.36,0.00,0.00,0.00,0.00
SPI,189,9348,49,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.63,0.00,0.00,0.00,0.00,0.08,0.00,0.16,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00
SPN,2183,231777,106,0.00,0.20,0.25,0.27,0.18,0.00,0.06,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.05,1.00,0.02,0.00,0.05,0.00,0.12,0.00,0.05,0.00
BWI,1641,162636,99,0.00,0.00,0.00,0.00,0.00,0.14,1.00,0.56,0.55,0.22,0.14,0.09,0.38,0.57,0.70,0.24,0.79,0.74,0.53,0.52,0.06,0.00,0.00,0.00
SPB,3069,52173,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.42,0.99,0.57,0.41,0.00,0.99,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SPC,1342,105270,78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.20,0.17,0.18,0.13,0.09,0.37,0.11,0.15,0.12,0.07,0.13,0.28,0.32,0.00,0.00
BWN,3082,542988,176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.78,0.49,0.49,0.10,0.00,0.00,0.09,0.23,0.05,0.90,0.03,1.00,0.14,0.00,0.06
IXJ,835,135450,162,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IXL,462,58158,125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IXM,1082,96154,88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.19,0.00,1.00,0.00,0.59,0.00,0.00,0.00,0.19,0.00,0.00,0.00
IXB,638,102613,160,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.07,1.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IXC,365,62780,172,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IXA,287,35014,122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BYP,707,70700,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.20,0.00,0.00,0.00,0.00,0.57,1.00,0.00,0.00,0.00,0.00,0.00,0.00
IXE,1798,220840,122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.47,0.00,0.47,0.91,0.00,0.02,0.47,1.00,0.00,0.15,0.00,0.56,0.00,0.00,0.47
IXZ,849,129801,152,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.71,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BYO,85,5950,70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NYT,72,7086,98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00
IXR,579,86716,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.21,0.00,1.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00
IXS,431,44020,102,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.20,0.00,0.66,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IXU,950,132744,139,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,1.00,0.00,0.12,0.00,0.00,0.00,0.00
